,reviews
13,"Had a 10- hour layover and after sleeping at the hotel at the airport, we checked out the Jewel, which opened in October 2019. It's lush, peaceful, and air-conditioned, but you feel like you are outside. Definitely worth spending some time to see it - I viewed a documentary about it on a Singapore Airlines flight - it is immaculate and they do a great job of keeping it in tip-top shape."
14,This is one amazing place located at the airport. The vortex and indoor forest and almost too real.. Nice glass Walkway to see the vortex.
15,Beautiful with different stores (not all the same old brands!) and a fun set of attractions. We got the senior set 1 of 5 activities for S$27. Very clean!  They check your temperature and spray hand sanitizer on your hands at each section. Loved the mirror maze most!
16,"This is the latest addition to Changi Airport. It's huge with lots of shops and restaurants, as well as activities such as the Canopy Walk, maze etc. The trees and greenery really make it lovely. There are also flight check in counters here, where you can do an early check in, and then relax and wander around the place."
17,Amazing how quickly you actually can forget that you're on an airport waiting for a flight. In Terminal 1 in Changi Airport you enter Jewel and you instantly don't believe your eyes. There's this thrilling 40 meter high waterfall surrounded by beautiful tropical plants and trees. You can take a walk at different levels and/or visit the adjacent Canopy Park (small admission fee) with some nice attractions. So when you have a flight out of Singapore vond early and enjoy this awesome place. Luggage can be stored near the Jewel entrance and there also is an early check in.
18,"Jewel is one of the best things added to Changi airport in the last 10 years and has greatly raised the convenience of the aged Terminal One. Good mix of restaurants and retailers (especially liked Tokyu Hands, Muji, Bengawan Solo and the supermarket). Well done and keep it up please!"
19,"Simply the most incredible airport in the world , fabulous for restaurants, shopping, clean, quiet and sophisticated."
20,"At first bought the bundle ticket in order to do all activities and we thought that it was quite price : but it definitely worths every penny ! 

All activities were very funny and adapted for kids and big kids. 
Each part is very different from the others so it’s not boring and you can spend many hours there. The mall is also full of amazing shops and they are plenty of good restaurants , it’s such a good destination for a rainy Singaporean day."
21,That place is extraordinary.Im so amze with the vortex cant keep my eyes of it.Its very clean and very cool
22,I’d like to highly commend Carissa Santos from the Jewel Guest Centre who very kindly helped us find our car. Carissa noticed that I was repeating my steps when trying to locate our car in the car park and went out of her way to find me and assist me in finding my car. She was kind enough to spend a good 20 minutes helping us and even ensured we were safely in our car before saying goodbye. She went above and beyond what I expected - thank you Carissa!
23,"As a Singaporean, I'm proud to live in a country with the best airport in the world. You can spend the whole day at Jewel and you will still not feel that it is enough. Take your time and relax by the waterfall. The view of the waterfall, is best in any level you are at."
24,"I was an engineer for the project. Despite the fact that I have worked at the very same place on daily basis for almost 3 years, it never failed to amaze me every time I visit. Not sure about other, but it always reminds me of the Jurassic Park, of course, without the dinosaurs."
25,"We were amazed at the design of the place. 
So much thought has gone into the design. The shops are a shopaholics dream. There are many restaurants available including a Pizza Express where we enjoyed a lovely meal.
The most amazing part for us was the waterfall and the planting and the gardens. 
The best  bit was at 9.30pm when they have a light show on the fountain, just amazing. It has to be seen to be fully appreciated.  So glad we came to see it and would definitely recommend it."
26,We had a chance to fly through the Singapore Changi airport.  The Jewel at Terminal 1 is something that cannot be missed.  The waterfall is a sight to behold.  Take the escalators to the top floor and there are bars and restaurants overlooking the waterfall and gardens.  At each level in between are more restaurants and shopping.  You will think you are in a high-end mall and not an airport terminal.  The Jewel has to be seen to be believed!
27,"Jewel Changi Airport will definitely be an ideal location to carry out wedding proposal. Although it is a nerve-wrecking experience to carry out wedding proposal in a crowded place, there is no worry of rain or shine as it is an indoor environment. With just simple preparation, coupled with the setting - she worn the diamond on 20th May 2019 at 1314hr."
28,The airport itself is a tourist attraction. It's super modern and at the same time close to nature feels. Waiting for a long flight scheduled? Jewel got your back!
29,"We really enjoy our quality hours at Jewel shopping mall Changi airport, not only for shopping and eating, but also for exploring an amazing Neo- futurism architectural style. This iconic building is designed by the world- renowned architect Moshe Safdie, (a 81 years old, Israeli-born who is behind iconic Marina Bay Sands resort). It is opened in April 2019 to welcome 300,000 visitors per day, so far we heard that over 50 millions have visited it. The highlight of Jewel atrium is the largest indoor water fall - 40 meters high rain vertex and 5 storey-forest-valley with walking trails. This iconic spot is highly recommended especially at night time you will be able to marvel the colorful light show."
30,The Rain Vortex is absolutely mesmerising. Make sure to catch the show if you are visiting in the evening! Each show lasts about 5 mins and runs from 8.30pm to 12.30am daily at hourly intervals. Hands down the best experience you can get at an airport!
31,"We went to see JEWEL at Terminal 1 on our way out of Singapore. Must see when in
Singapore. Multilevel greenery in Terminal 1 with a tremendous waterfall, 40 meters tall, in the center, dropping from the ceiling and disappearing into the floor, on level 1. Your view of this amazing waterfall changes with the level you are viewing from. There is greenery throughout this immaculately clean airport."
32,"A great place to spend time in transit. Early checkin for several airlines saved the day, and allowed us to look around more freely."
33,"We spent a day here (including having lunch in the middle),  the waterfall was a beautiful sight. We bought a package to enter the canopy park and do all the attractions. Loved the Mirror maze, the mist bridge and the bouncy nets. The net walk was harder and scarier than we expected, little feet go through the net. See the waterfall from all the different levels using the elevator. Kids loved this place (aged 6 and 9)"
34,This is really amazing and worth the visit. Make sure you watch the light show in the evening at the indoor waterfall. It’s really relaxing just sitting and watching the waterfall here during anytime of the day. I have visited a few times when returning to Singapore at Terminal 1. Changi airport has always been amazing but the Jewel took it to a new level. Would definitely recommend it.
35,"We took the opportunity to visit Jewel. This is a very well done project. It is very comfortable to walk around and have your meals here. There are many restaurants and eateries, a food court and supermarket as well."
36,A truly wondrous experience. If ever there was a place that has the potential to reignite a sense of childish wonder in a world full of competing sensory experiences this is it. Set in Changi Airport “Jewel” is a destination in itself and one where you could quite easily spend a
37,"We came there only for the waterfall and the green sourroundings, but we observed that there were quite a few restaurants, cinema etc. in addition to the waterfall.Very nice waterfall, and a great building."
38,"Large shopping mall. Convenient for the travellers and locals. No more worries to find place to kill times while waiting for the flights. There are lounges, early check in, luggage service, food, shops and all the activities! "
39,"I have been to many world city airports, and Changi Airport is simply amazing, and one of the best airports that I have been too!  Changi Airport was designed in mind with entertaining people, and two areas that will be on my list next time is Kinetic Rain, and the five unique"
40,The Jewel at Changi Airport is a delightful step away from the traditional airport building. The combination of an amazing attraction with many retail and restaurant options in an airport location is alluring to both tourists as well as locals.
41,"Nestled at the heart of Changi Airport is this work of art that even Picasso can’t even believe. Name better way to welcome a tourist coming from overseas to Singapore. I bet you can’t. Jewel is indeed Singapore’s Jewel alongside with the famous Gardens by the Bay. Such an eyecandy. And to all the tourist travelling SG, please, do yourself a favor, before going to your homestay or hotel, walk an extra meter to see this work of art."
42,Nice place for shopping and in built magnificent waterfall is awesome to view and overall a nice experience
43,"The best place to waste time whilst waiting to catch your flight. Magnificent architecture and gardens around waterfall. Shopping, food courts etc- entertainment- it’s a great way to kill a few hours."
44,"Wow what can I say.... This gem will knock sports of most attractions and certainly any global airport. 

If you are not flying from T1 and can get to the airport a little earlier then get yourself over to “The Jewel” around 10min walk from T3. I promise you this you will not be disappointed. 

A must see ❤️"
45,"Situated opposite T1 we checked our luggage in early here downstairs and left luggage here too. The centre has an amazing indoor waterfall/feature set amongst what I would describe as a tropical rain forest, similar to the design of the Cloud Forest dome. Inside are loads of"
46,Beautifully designed. An instagram magnet. Has all the best restaurants in Asia here. We has the best dim sums. Highly recommended. Can be busy around the atrium fountain btw.
47,It's number 1 ranked in the world for a reason. Every terminal shop and gate feels like luxury. Amazing waterfall! Long walk from some terminals but worth it.
48,"Although we flew into Changi Airport, we were leaving from a different city - thus needed to take public transportation back into the airport so we could experience Jewel, the Operculum that takes your breath away.  It is so refreshing to experience; you really do need to"
49,"i end up at Jewel Changi Airport after i'm finish up my assignn't at other place in singapore....suprisingly, Jewel really easy to found from mrt station at terminal 3 coz of large and clear signboard...after a long walk( about 15 min ), finally indoor waterfall caught my eyes"
50,"First things first, we walked a lot, I mean a lot. So be prepared if you want to go to see the amazing waterfall. It was a good experience as we had some no of hours for our flight. We did not go anywhere else to be honest, just roamed around the waterfall, with all the greenery."
51,"Top mall that showcases our futuristic vortex waterfall with light shows every evening. Fab mix of retail brands ranging from casual to high-end and a wide variety of restaurant types and cuisines. Child-friendly, the top floor features an indoor park for children and adults to climb, stroll, and chill. B2 has a child-friendly cinema at Shaw theatres that has a play area for the kids while the adults watch the show. So huge that you can get a bit lost, but there are handy touchscreen info electronic boards at almost every escalator. Favourite new mall in the east!"
52,"My husband and I were in Singapore’s Changi Airport last December for our flight home.   Jewel is Singapore’s newest attraction - a large nature-themed retail complex located adjacent to the airport.  There are many restaurants inside – both high-end and Hawker style dining in the basement.   It’s free to enter (no luggage carts), but the attractions have fees.   If you have luggage and bags, there are several baggage storage shops available before you enter.

The star of this place is their indoor waterfall.  It’s the world’s tallest at 40 meters (131 ft).  Since it was very crowded around the waterfall, we walked around until we found a quiet place to sit and admire this beautiful rain vortex surrounded by lush plants and trees. 

But my favorite feature of Jewel is their restrooms!  Some toilets have Japanese style bidets that squirt water from underneath the seat.  It was pretty AWESOME!  I think ALL the public restrooms in the world should have this feature!  

Jewel is a perfect place to be if you have a lot of time to spare in the Singapore airport.  It is a destination in itself!"
53,"Anyone arriving into Singapore must not miss to visit The Jewel Side in the terminal.One of the most relaxing environment with water features lots of Greenery ,sound effects and also many restaurants to eat from.You can also visit it during your transit to else where . Singapore Changi consists of 4 terminals but all inter connected.Either you take a stroll or use the terminal trains.
Enjoy your time there."
54,"Destination itself. Well worth spending time. You can check bags in early here, print boarding passes and enjoy! Great shopping to browse and fantastic choice of eating!!! 
The waterfall is amazing and area great place to chill and relax."
55,"Jewel is the latest attraction in Changi Airport. It comprises of fashion shops, eateries and exclusive attractions such as mirror maze, canopy park, hedge maze etc. The main attraction of Jewel is the rain vortex! It is gorgeous!"
56,"Basically this is a entry free version of the flower dome from Gardens by the bay. 
If you are flying out, make sure you do not go through customs. The Jewel is a public access mall. Problem is with the your bags. As trolleys are not allowed in the elevator(what are they thinking when they design this place). As a trade off, there is a baggage storage at ground level. 
Best light show happens after dark."
57,"if you are in Singapore and missed jewel changi  then your trip is useless.
jewel has so much to offer you for whole day.
actually its a part of airport it self but you can't visit if you don't have visa for Singapore bcz you have to pass through immigration then you may go there by free airport bus.
i planned my visit on first day only after i landed in Singapore. bcz my flight arrival was at morning 10.30 so i planned my first day till evening 7.00 there only.  around 7pm there is free sound and light show at HSBC rain vortex   don't miss it.

basement to floor 5th  so much to see, shopping, etc. and on 5th floor there are few activities you must try. buy its combo tickets from its website only. don't buy separate attractions on website.

for me bouncing net and mirror maze  was very exciting.  you may jump as much you can on bouncing net. forget your age and just chill."
58,"We had a 2am flight so arrived with plenty of time to explore the Jewel.  Wasn’t aware everything closes early.  The light show on the waterfall was still on and amazing.  Wheelchair friendly mostly everywhere.  Sorry we missed it during open hours.  Found it difficult to find somewhere to eat. Was a weekend so perhaps could look at later closing hours.  Accessibility amenities available. And  lifts, just spread out."
59,"Don't visit Singapore , or transit via Changi Airport without visiting 'The Jewel' ! The name is well deserved : Impressive construction , beautiful indoor waterfall surrounded by an indoor tropical garden , great shopping and restaurants within the structure..."
60,If you have about 20 minutes to spare then head down to the magnificent Jewel terminal which has a stunning waterfall and a lot of indoor greenery. We walked to it from inside the departure terminal before checking in for our flight.
61,"We did not have time to spend in the airport before or after our flight and I could not leave Singapore without seeing the Jewel. So, we took a subway and spent all day at the airport. Words cannot describe how beautiful this place is. Bright and airy, clean, tons of space to sit and enjoy and, the rain vortex left me speechless. Do not miss the Canopy Park. I recommended going early in the morning before the airport rush. It will be well worth it. You don't need a boarding pass to enter Jewel. It's directly connected to MRT station and signs to guide you there are clearly posted."
62,"Well got here about five hours early for our flight ; but didn’t bother me as I was under the impression there was lots to do at the airport . There isn’t ; there are plenty of places to grab something to eat and some duty free and other shops , but I think they were all rather expensive . Went to butterfly garden and it was smaller than I thought it would be and I didn’t see one butterfly ; might of had something to do with the fact that it was nighttime ; but if that’s the case they should put a sign up to let people know ; do butterflies sleep at night ,I don’t know and obviously neither did all the other people that were in there expecting to see butterflies"
63,"We recently had an opportunity to visit Singapore for the Asian Airshow. While there we got to visit the Jewel and it is amazing, incredible and a must see. It alone makes Changi the most incredible airport. We also happened to eat at a restaurant in the Jewel. However, while the meal was great, we could not keep our eyes off the waterfall. In addition to rain pouring in, the waterfall also periodically becomes a mister bellowing out a cloud from the oculus in the ceiling. However the one is simply one part. The overall round glass structure is just as amazing and complete with its own areal playground. Not to mention see the monorail pass directly though it. Great feature and amazing attraction."
64,"Singapore's Changi airport has been rated number one in the world for several years - with good reason.  The latest attraction, the Jewel, is a simply amazing creation of imagination.  The center, a giant indoor waterfall is a great focal point.  If you can, catch the night time light show.

Tips:  (1) If you have a long layover, you'll have to exit security to access the Jewel.  It's worth it.  (2) If you wanted to explore it before you fly out, most airlines have early check in services at the Jewel.  Check with your airline.  (3) Give yourself plenty of time to explore.  This is a huge complex.  Enjoy."
65,"Just a spectacular place. So gorgeous to look at and explore. Lots of food, shopping and entertainment options. It's like a city centre! I absolutely loved it. Give it a day of your vacation."
66,"If you've an hour to spare whilst in transit at Changi airport, or you want to check-in more than three hours before your flight (which you can do at The Jewel), make sure you give it a visit. The huge multi-coloured waterfall, the indoor forest, the shopping and eating, the"
67,"The Jewel is a shopping centre located opposite Terminal 1 and this is something you do when you arrive at the airport or at least 2 hours before you check in for departure. As soon as you enter, you will see this waterfall which is simply impressive. It has a few floors I think"
68,"The Jewel truly amazing..must visit! Great way to spend few hours during transit in singapore. Must clear singapore immigration, walking distance from airport terminal"
69,"Jewel has as its centrepiece a stunning waterfall, come tube of water, it is symmetrical and stunning. there is a rainforest canopy of trees and plants growing all around, with a train line running through.if you have time catch the sky train through it, if you have more time,"
70,This is an absolutely must see when you are in Singapore. Entrance is free but there are some charge options. We spent about 3 hours there and had a wonderful time
71,"Staying in Crowne Plaza so exploring here was essential. It was slightly subdued because of the reduction in travellers.
But the centre piece indoor waterfall is outstanding. Only in Singapore would you find such imaginative architecture. Watching the falls change colour as two trains perfectly synchronised passed each other behind them was awe inspiring"
72,"Who would ever says they are impressed with airports? They basically serve a purpose. Some are good and some are not but Singapore Airport is a whole new level. The airport has to be one of the most organised and cleanest places we've travelled to. We stayed for one night at Crowne Plaza.

The Jewel is land-side between terminals 2 and 3 and is very aptly named. It tends to be restaurants, coffee lounges and so on. There are several bars on the top level. There are some tourist attractions to visit and if you are passing through Singapore, I'd suggest you take time out to include this place.  I would not say that about any other airport we've been through! Many airlines have a bag drop so you can get rid of your suitcase early and relax before you go air-side through security for your flight. Even air-side there is plenty to do and see.

The world's biggest waterfall is impressive and in the evening from 7.30pm they do light shows with music."
73,"Singapore is known for so many Malls! And this one is really amazing and worth the visit. Make sure you watch the light show in the evening at the tallest indoor waterfall. 
It’s relaxing and peaceful just sitting and watching the waterfall here during anytime of the day. I have visited many times and will be keep going time to time😀"
74,"We had a wait for conecting flight at the airport so jumped onto the conecting train and headed over to the Jewel. Fantastic experiance one I'm happy to have taken. The airport is amazing but the Jewel took it to a new level. Floor 5 is outstanding great restaurants, the water fall, the flower walk, just awesome. The shops were great but for me the whole place has to be an experiance not to be missed."
75,Took leave to enjoy our day but was not allowed into the skynets bouncing and walking with my 5 year old kid. He was just 2 cm short of 110 cm requirement. So had to leave without doing anything there. Asked for a cash refund but the management refused. So we had paid 80 for a whole family outing without doing anything. Waited for a long while for the queue as well. We booked a scheduled timing for the skynets and my boy left the scene crying
76,I visited the Jewel as I was early for my flight - it is well worth a visit! I payed to enter the gardens and to visit the Canopy Bridge - its crazy this is in an airport!
77,This place so beautiful that we are speechless about it. This place is marvelous an indoor waterfall and forest. This place located at terminal-1 of Changi airport. I strongly recommend all tourists to visit this place.
78,"We were there because we had some spare days in SGP. It will take an hour to reach here from anywhere in the city. There is not much to do in form of activities. You can take a stroll or stay near the rain vortex. The paid attractions are quite unimaginative. Its better to just stroll for a while, eat/drink something and just take a bus ride back."
79,"Singapore is truly a unique place, and this airport is no exception. It has the largest indoor waterfall, and it’s very fun to get views of it from the four or five different levels, all the way at the base, to almost at the very top. It’s very beautiful to walk around and take in the interesting scenery. There are tons of shops and places to eat in a very condensed place. We checked in early so we could have some time to wander around."
80,Jewel is a must-visit! The shopping mall is big and very well-designed. The indoor waterfall is really wonderful.
81,This is a large part of the airport which is big enough in itself and gives it a really modern feel to it with an architecture of its own
82,"The best airport in the world. It is like jurassic park. A combination between technology and nature, which is the basis of Singapore. The one time you want to get to the airport early and see the whole thing."
83,"The selection of food brands and shops in Jewel is really fantastic. There's some brand you can't get in other parts of Singapore - like A&E and Shake Shack. In fact, the queues for those places are ridiculously and surprisingly long!

The fountain is a must see and adds a nice touch to the ambience. There's timings for the music and light show - worth catching if you're only passing through once. And there's many good vantage points to see it from as the mall is circular around the fountain, with many floors to view it from."
84,"The waterfall and indoor garden is amazingly beautiful. This will blow your mind if you think Changi airport is nice. There are also huge selection of restaurants, some with looong queues like shakeshack and a&w. Please go visit when you are in airport!"
85,"I used the Singapore Airport at the end of my cruise from Dubai to Singapore.  Since I had several hours to kill I decided to go and see the new Jewel.  The information desk suggested that I check my luggage first and then go and see the Jewel.  It is about 10 minutes from terminal 3 where my plane was leaving.  I noticed that there were several warnings for people to make sure that they did have enough time to go see the Jewel.  I can imagine that you could lose track of time while visiting this area.

The Jewel is spectacular and there are shops and places to eat in the same area.  I would highly recommend going to see this site as it is free and very impressive."
86,We thought we would visit the Jewel whilst we were waiting for our flight so we asked at the information desk how to get to it. The lady was very helpful but told us we would really need five hours to visit because you need to go back through immigration and need plenty of time to walk around it. Unfortunately we did not have the time but she recomended taking the Skytrain between terminals 2 and 3 which passes right through the Jewel and slows down as you pass through. We made a trip there and back on the Skytrain so was able to marvel at the plantings and that spectacular waterfall. Would factor in extra time to your travel arrangements if you can. It's pretty awesome.
87,"This is seriously the most amazing experience - one can spend the whole day here and not be bored. Food is amazing, the waterfall is spectacular and the walk is spell binding. The shops are pretty cool as well. Everything is well designed and beats the experience in T3 or T2. In fact spend as much time here and have your meals here too as the food in T3 or T2 is not great compared to Jewel. The overbridge to T3 takes about 10 minutes and you can do early check in here for Singapore Airlines and a few others. 

This takes airports to another level altogether.. I have been to airports in KLIA, Heathrow, Incheon, HK, Taiwan and Jewel beats all of them. Absolutely love!"
88,"Is the best shopping area in an airport (and I passed 40+), impressive architecture, main brand stores like in Downtown, great food option (fine dining or average price like Tonito, with amazing view). No sense to pay for activities, as you can walk everywhere, and the Flying fox or amusement area are small and expansive. As well as the Baggage depot: NO SENSE TO USE IT IF your Airline have EARLY CHECK-IN in Changi (in Jewel L1)  4-6-9-12 hours before! Just stroll around for 1-2-3H, leave the baggage to your airline directly, and enjoy 6-9 hours of Singapore downtown!"
89,The Jewel Changi Airport is an impressive Shopping mall with a lot of (high priced) Shops. The absolute Highlight is the waterfall.
90,"I like this airport so much, I have been 4 times there. Not only the biggest fountain is great but all the shops also so nice."
91,Another visually captivating attraction... but one that you can catch at Changi after you've just collected your boarding pass (if you're departing) or your bags (if you're arriving) and within easy reach from your terminal by airbridge. We did the Canopy Walk (S$5- p/p) and
92,This additional shows why Singapore has the best airport in the world. A building dedicated to shopping and great food within walking distance from all terminals? Wow. Definitely worth a visit if you have time
93,"Amazing - we loved exploring the canopy and the mirror maze. We had dinner downstairs in the food court which was clean, delicious and reasonably priced. We were also able to arrange point of pick up for grab car without having to venture back to the terminal.   Unfortunately we"
94,"Since we had a late flight out, decided to check out at noon and spend our afternoon and early evening at Jewel Changi. We were not disappointed. Not only is the architecture of the central dome stunning, the whole concept of indoor nature with waterfall and other features has"
95,"It is a must see. I would recommend to reach Airport way before departure so as to explore the Airport. The Airport is really huge comprising of The Jewel, Shopping Malls, Food courts. 

It is like another tourist attraction in Singapore & allocating a couple of hours here is worth it."
96,"We had seen the jewel online before visiting Singapore , but made it our first go to destination  when we arrived . 
We had landed in Singapore early and could not check into our Hotel until 3pm ,so we just got onto the next MRT back to Changi Airport and  spent some time shopping in the huge shopping mall,  tried a couple of places to eat and then headed for the Jewel which was awesome, granted it was daytime but still worth it . We did make time later in our stay to visit in the evening for the light show, it is worth it even if  it only lasts around ten minutes  it is repeated on the hour so you do have the opportunity to catch a great light show. Tip do not try to visit if you have gone through immigration . the only way you will be able to see it is seated on the monorail that goes passed on the journey between terminals. Just take the time to visit during your stay in Singapore it is well worth it."
97,"This airport is not your typical one. Besides a full shopping mall and food court the gardens, waterfall and vortex are something to see. You can spend hours in the airport."
98,"This man made structure is amazing. Located by the Airport and mall, it strategically showcases and introduces the waterfall admist shopping and eating outlets. Very popular with locals and tourists."
99,"We had 6 hours to spend between disembarking our cruise and boarding our long flight home.  After a long, exciting but challenging day exploring Singapore, we needed to relax before departure.  The Jewel provided the perfect venue to accomplish this.  We were easily able to check in our bags early for our flight, store our carryons for a minimal fee and then explore the Jewel.  And what a jewel it is!  This is the first airport installation that meets the needs of a wide range of travellers of all ages.   We bought entry into the Canopy Park where we enjoyed walking through the hedge maze and topiary walk, watching children run off energy at the Discovery slides and Foggy Bowls.  We wandered through the park enjoying the 5 story rain vortex, the world’s highest waterfall, from all angles.  My husband thoroughly enjoyed the Changi Experience Studio while I checked out a few shops and relaxed.  There are countless shops and restaurants to visit as well as an imax with laser technology., banks, and a supermarket.  There is something for everyone here within easy access to the terminals.  Innovative and beautiful."
100,"Changi Airport is one of the best airports in the World. From shopping to eating, sightseeing to watching movies, play areas to the swimming pool with jacuzzi, one can find everything at this airport.  But the best thing and my favorite thing to do is spending time in the Jewel"
101,Wonderful experience by seeing different perspective of jewel airport and a good place to shop and chill 
102,"It's a must visit to see this latest attraction at Singapore airport, know as THE JEWEL, which is the largest indoor waterfall.   This is located between terminal 2 and 3 and is a must visit. It is also connected with terminal 1 and even if you have luggage there is no issue"
103,If you have to spend time in an airport Singapore is the airport of choice. All terminals have something to see but the Jewel in Terminal 1 is the place to go. An amazing waterfall and more shopping than anyone needs. Bear in mind that certain airlines allow very very early
104,We visited Jewel with our friend on a Sunday. It is an amazing space with a rain vortex that gushes down the core of the building over 7 storeys in height. It has lots of space to relax and chill out which iis not always easy to find in Singapore. The overall area is free and
105,"Hanging here is a treat! Come early just to experience the full effects of the 10 story waterfall and infinity pool. Stand on any floor and you’re immersed into the forest of trees and plants. 

This airport duals as a giant shopping mall, amusement park, and dining hall. With 100 places to find something to eat or drink you won’t go hungry. 

The Jewel is aptly named as it’s truly the jewel of all airports!"
106,The Airport Jewel water feature is a must see as it’s a great photo op and time waster for transfers and general waiting around. The shops are great but no access when you leave unfortunately.
107,"My husband & myself loved peranakan food.  We were at the Jewel,  Violet Oon’s restaurant for dinner last night .  We ordered the mango salad, Ngoh Hiang, udang bakar with sambal & Ayam buah keluah. All the dishes was delicious except for the Ayam buah keluah.  It was so sour.  When the dish arrived it looks so good that both of us scoop a big spoon full of  the gravy onto our rice and mixed it.  Thereafter,our plate of rice became extremely sour & spicy that every spoon full of it into our mouth was so difficult to swallow.  In order not to waste food we tried very hard to finish the ayam(chicken). It was not the original peranakan taste.  
Sad and sorry to say that the dish was horrible.  Feedback to the waiter ,  was told that Asam and chilies were added.  The dish was eventually waive  off on our bill.  We left the restaurant with a sour face.😭😭😭"
